"t","Mplus","M","L","ML","C_20","C_21","C_22","C_23","C_tot"
0.0,0.05,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0e-6,0.04995002499166875,4.997350884446429e-5,5.99999999850053,1.4994701322987764e-9,8.326586589766024e-15,3.1228408933924967e-19,6.995850088904688e-24,2.3404212692879092e-29,4.997500832292348e-5
9.0e-6,0.049552018938644186,0.0004478599347932391,5.999999878885502,1.2111449664090876e-7,6.030856023316956e-12,2.0375945501199483e-15,4.1115163242440476e-19,1.2364492320964247e-23,0.000447981055322823
7.3e-5,0.046480041501728506,0.003512161341077473,5.999992208966347,7.791025183837824e-6,3.0550802415469832e-9,8.436958858175111e-12,1.3897187212122458e-14,3.4060165321851943e-18,0.00351995543144174
0.0002295568720801261,0.03974428810687208,0.010182557386276464,5.999927014647373,7.298460019242037e-5,8.355668872190214e-8,7.395736567499248e-10,3.896083725381289e-12,3.040632263054293e-15,0.010255626721857645
0.0003861137441602522,0.033984660643285175,0.015818768580108618,5.999804147565463,0.00019584693189788683,3.493992917404863e-7,5.300402553749661e-9,4.788204851565695e-11,6.366848606034014e-14,0.016014975027842316
0.0005426706162403783,0.029059701759749357,0.020571108531786265,5.999632598748964,0.0003673815467348805,8.519088323466699e-7,1.851409116185743e-8,2.3966248404610533e-10,4.539107948050655e-13,0.02093938288767002
0.0006992274883205043,0.024848453695900975,0.0245681523332954,5.999420052045677,0.0005798979017053578,1.6002351414531068e-6,4.5677860433701544e-8,7.772797167662502e-10,1.9220734243037115e-12,0.02514976385198479
0.0008557843604006304,0.021247487540720734,0.02791987183574101,5.999173073076429,0.0008268230236617779,2.5766488555478794e-6,9.175961169755142e-8,1.95072030018681e-9,5.98154524973504e-12,0.028749522036161292
0.0010123412324807566,0.018168363002304462,0.03072032144375733,5.9988972709724955,0.0011025401474204443,3.7479620670702462e-6,1.6093789861711502e-7,4.133072866666477e-9,1.5186641710973832e-11,0.03182708535949645
0.0011688981045608828,0.015535456269499575,0.03304994003768208,5.99859743678525,0.0014022506315887126,5.07505089323073e-6,2.564836824193908e-7,7.769426017998039e-9,3.3373548778202877e-11,0.03445807547179197
0.0023136292270560703,0.004945083240151884,0.040987284015599035,5.995984021923373,0.004012905743079009,1.5956824537397978e-5,1.8240219201335696e-6,1.2813130347232493e-7,1.1873312116902603e-9,0.04502397710283867
0.0034520014357553017,0.001584108196289253,0.04145627662165315,5.993147259585099,0.006842066964268138,2.3450691886368616e-5,4.508633641790745e-6,5.50083270745993e-7,8.171332325747364e-9,0.04834468031443927
0.005039731782498769,0.00032377432053530726,0.03879298455905163,5.9893117375599125,0.01065597607424753,2.676606786716869e-5,8.688825239574605e-6,1.878657444930957e-6,4.4203103062638634e-8,0.04952787800246175
0.007053291276373509,4.3228042220803e-5,0.034527331390511576,5.984881774005764,0.01503700140647939,2.4705339975806694e-5,1.3101594019082531e-5,4.921091321793671e-6,1.7583156345745831e-7,0.04968319703231418
0.00979435967889227,2.7884036671849523e-6,0.029184325704030956,5.979650022845113,0.020161288885662595,1.9100619087639782e-5,1.671216357128277e-5,1.120575085662167e-5,6.066482131848464e-7,0.04951618488335966
0.013914219450909142,4.544537459144507e-8,0.022613192287001593,5.97327119952666,0.026295936081872206,1.1894915637428672e-5,1.8233391699996094e-5,2.371049527378069e-5,2.0214767108549265e-6,0.04915443462498284
0.020105224512396613,1.169059966810372e-10,0.015405810533534382,5.966266110821406,0.032792375275142935,5.640929044209107e-6,1.629668142193778e-5,4.4681974283371903e-5,6.23270560666503e-6,0.04855500078274829
0.03354099415617245,1.1361957623378883e-12,0.0067125376808488055,5.95772398311357,0.039939160521728384,1.1110984117662443e-6,9.155679496015355e-6,8.140155239420156e-5,2.34636820849659e-5,0.04725924572682397
0.05081508466460051,1.8946093028456574e-14,0.00231469838574979,5.9532441821133535,0.04242277622113767,1.3857699763135477e-7,3.535350823810143e-6,0.00010339577784403168,5.582496649911643e-5,0.045675952407593666
0.07208304262268561,4.361942764347965e-16,0.0006249649484730418,5.951311585353961,0.04184921584654903,1.0722816047219893e-8,9.988628416758002e-7,0.0001088265727820299,0.00010109737837356944,0.04380505509832679
0.10077622669913029,1.3565561908936059e-17,0.00010697355385218179,5.950408910669939,0.03952872322439392,3.285619052212237e-10,1.744006767514028e-7,0.00010434176381942912,0.00016202726001383308,0.04144595292538416
0.13845131349914805,4.8502965075258275e-19,1.0583926585705939e-5,5.949824204023918,0.03636581265857873,3.318771980403196e-12,1.7629418774132037e-8,9.535595573030377e-5,0.00023663140865102215,0.03872876725708339
0.18981006270551035,1.8065895988713876e-20,4.5688652429318145e-7,5.949235200338872,0.03274755739830856,3.247968638976943e-14,9.77646194069049e-10,8.456711607561859e-5,0.0003280468547983352,0.03571130657654974
0.26969145404175493,6.104280779383986e-22,3.628875049767509e-9,5.948518501457786,0.028487794657747506,8.919897036854838e-14,2.1477439044464762e-10,7.185693842351154e-5,0.00045134951435152847,0.03219487625768245
0.41469593818954803,1.499761133935201e-23,4.895456928963405e-11,5.947600520996352,0.02331160076542215,1.6329907586394834e-14,1.9365285340815e-10,5.6558260637557336e-5,0.0006340766664884601,0.027978554106357224
0.6250476814303355,2.8226883503256167e-25,3.171875545429561e-11,5.946740868159971,0.018754294629954572,0.0,1.7577170495962058e-10,4.33028118410116e-5,0.0008396430948034614,0.02433747465703947
0.9083519442675896,4.189315692608938e-27,2.54834566155322e-11,5.945994939212415,0.015112816387934457,0.0,1.5689150921311915e-10,3.2942832438748694e-5,0.00105080460263034,0.021496026573948668
1.3153905517069269,4.5618041994133456e-29,2.0309160555838668e-11,5.945295117795016,0.012049750499666882,3.5460924063348477e-15,1.3642582985306281e-10,2.4483118649754317e-5,0.0012786506762922333,0.019171311032338652
1.8882816824329436,3.6547564242297255e-31,1.6120489081098218e-11,5.944655290226509,0.00956758500373359,5.334078918575436e-15,1.1565349543642741e-10,1.7895353531953594e-5,0.0015146677047295862,0.017347085200456285
2.707945692492018,2.0999803513863367e-33,1.2703448208343644e-11,5.944070735675658,0.007541411139299948,0.0,9.507984638900825e-11,1.2791442274120159e-5,0.0017582047955173594,0.01591011935634574
3.894213380355933,8.492907212018177e-36,9.91603700732426e-12,5.943544256849449,0.005887790375601875,0.0,7.539812259995087e-11,8.900281541156294e-6,0.002005887953096611,0.014781358932309432
5.572168851700857,2.457876159360868e-38,7.70478799837967e-12,5.943090390595524,0.004575494913340783,2.152225716510558e-16,5.7818578847660707e-11,6.069008009799959e-6,0.0022458447152554845,0.013919689231452103
8.043397370448616,4.875331553084001e-41,5.8954849718726004e-12,5.942692791638837,0.003501439343849149,1.5924334776468215e-16,4.2344627305704494e-11,3.991735676386979e-6,0.002480153883748732,0.01324042496804776
11.709770936550186,6.56043252176081e-44,4.435371799198856e-12,5.9423537397255615,0.0026344855465727816,1.1454515212635262e-16,2.9561274330480806e-11,2.5314717714732987e-6,0.002700682175503297,0.012710853738408058
17.213179585082806,5.907498314796022e-47,3.2716433450932784e-12,5.942071956011077,0.0019433979121996677,8.322723180323553e-17,1.970163614414944e-11,1.5516126892609805e-6,0.002900344371198368,0.012300989344568396
