"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9975008314596585e-5,8.326898880851237e-15,9.875374350944188e-28,1.645972620047844e-29,2.0819830244818537e-42,1.5616246141663415e-42,3.2803395836963647e-65,2.6026132890604564e-44,3.3605184458830015e-57,2.6064667890818393e-57
0.00044798104928988003,6.032894029031073e-12,4.8938720908247203e-17,1.1650730817229245e-26,2.0887946087985676e-31,5.663504926989514e-31,3.318443778550123e-44,3.960783530148652e-44,5.531253403034913e-46,2.357913733569181e-45
0.0035199523662613106,3.0635311009983876e-9,1.6492793131127775e-12,4.9544179695957765e-17,1.6668707475154273e-24,1.4220417530472914e-25,9.228426909671484e-31,4.4879015091441294e-30,5.606653775044912e-43,9.532217099476451e-38
0.010255541986468884,8.43001615030097e-8,4.3456655507173025e-10,6.606812910468725e-13,2.131671266460521e-17,2.498374882611057e-22,9.992768765000885e-26,1.7820119258633028e-25,2.8772239920786415e-30,5.7750029863554e-30
0.016014615512006506,3.547476400112376e-7,4.723664579535605e-9,4.422295682232963e-11,3.0775911084665875e-13,5.027081553737094e-16,2.1364556686587047e-20,2.195796021464622e-23,1.2015712169295473e-25,6.531588838093955e-26
0.020938490078521145,8.706630399033682e-7,2.1754232730007847e-8,3.865475185702431e-10,5.2727232385494576e-12,5.5570054252263114e-14,4.256042321397585e-16,7.137456455956461e-19,1.0665286627859105e-22,8.77597725365609e-25
0.02514805023500076,1.646692203676999e-6,6.505598270505156e-8,1.8282900582348112e-9,3.979920808141441e-11,6.983626171591936e-13,9.913579377206003e-15,1.0924150485529021e-16,8.526141078996943e-19,1.5087814917386206e-21
0.028746694859402788,2.6703651690908676e-6,1.505760042245591e-7,6.0425113124011865e-9,1.8820162645303814e-10,4.769703220892336e-12,1.0074835078424556e-13,1.775590926508914e-15,2.551044263386818e-17,2.865357612885428e-19
0.031822861591177774,3.913048225195739e-6,2.942759850397135e-7,1.576512829815392e-8,6.56044136369791e-10,2.2283558749026037e-11,6.365973515027074e-13,1.551926929512739e-14,3.2287745315038456e-16,5.754945614236804e-18
0.03445219066927079,5.339337375216896e-6,5.093970380022295e-7,3.4230551360893624e-8,1.7619181518549743e-9,7.304139477481445e-11,2.521087515000735e-12,7.405405408453584e-14,1.8710005765897714e-15,4.169412657507129e-17
0.04500018975867805,1.7910165092215563e-5,4.78572691361161e-6,9.30077396439282e-7,1.4161089606066014e-7,1.770381719446335e-8,1.873170292725445e-9,1.716031250626333e-10,1.4229386048054075e-11,1.0422974769765389e-12
0.04829834358592129,2.8517580131231104e-5,1.2428429005958503e-5,4.0610237428756505e-6,1.0542322778277874e-6,2.2640700805663535e-7,4.140657651924915e-8,6.596074354357498e-9,9.22911460192679e-10,1.3078968422783084e-10
0.049448960633299156,3.737775365473689e-5,2.3309865998251587e-5,1.148657074211737e-5,4.605576072176955e-6,1.5475070143408014e-6,4.46216064350654e-7,1.1279975713919328e-7,2.5000452846515662e-8,6.0794066398828854e-9
0.04956433279699096,4.2903856880140355e-5,3.302837315958401e-5,2.167532376438279e-5,1.2004818430266064e-5,5.684754123993658e-6,2.3380549385939458e-6,8.520882275429857e-7,2.715681717883774e-7,1.0539762692536251e-7
0.049345614589693554,4.762518172872906e-5,4.008806432605805e-5,3.178690485342237e-5,2.251224465690143e-5,1.4084600303993945e-5,7.808917225512524e-6,3.91074745137447e-6,1.7062732127386651e-6,1.047359907384758e-6
0.0489091283688738,5.586027932206038e-5,4.620364520830604e-5,3.963099089128694e-5,3.3011909836456914e-5,2.566193117375503e-5,1.832486545177426e-5,1.227666581906898e-5,7.117251127522059e-6,7.218717278814676e-6
0.04819818580867732,7.285229035618383e-5,5.732016014544126e-5,4.7108692053952804e-5,4.057361061628584e-5,3.512288380422874e-5,2.9537356899895202e-5,2.5011007855856334e-5,1.8044474869951472e-5,3.1244497469176964e-5
