"t","Mplus","M","L","ML","C_20","C_21","C_22","C_23","C_tot"
0.0,0.05,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0e-6,0.04995002499166875,3.7578108255007347e-5,5.999987603099936,1.2396900062151015e-5,5.438838879451735e-15,1.2810145297158386e-15,3.261632861190603e-16,1.1081779189139395e-25,4.9975008324204385e-5
2.9095195659107387e-6,0.04985473544920655,6.865852361346051e-5,5.999923393973011,7.660602686762815e-5,7.098409325841726e-14,4.8708121163984655e-14,3.64047034842612e-14,4.1408716116177406e-23,0.0001452645506371857
5.537260040930444e-6,0.04972390211630134,7.999612258840623e-5,5.999803898239656,0.00019610175893270245,2.2234745020285703e-13,3.2052122507261593e-13,5.458211166579133e-13,1.1969451450789187e-21,0.0002760978826098005
9.08050338199375e-6,0.04954802999409892,8.235790595816965e-5,5.999630387902118,0.0003696120898249676,4.592112178504814e-13,1.1417658715864352e-12,3.4578781869160367e-12,1.3312949322110086e-20,0.0004519700008420132
1.4838264752891576e-5,0.04926356399055802,8.223676755615033e-5,5.999345800763427,0.0006541991951702752,8.543130239665979e-13,3.603187681037664e-12,1.8899866661850402e-11,1.2567192395026756e-19,0.000736435986084009
2.6728252883729964e-5,0.048681289278886215,8.128610407715439e-5,5.99876257539959,0.001237424330612784,1.680405671043701e-12,1.3263529471802187e-11,1.2826217156160122e-10,1.6090550893110457e-18,0.0013187105778998671
6.719420721168614e-5,0.04675067986599425,7.808816480346423e-5,5.996828768148208,0.0031712273271079765,4.9338080574024074e-12,1.0748454079930722e-10,2.208088644996179e-9,7.224047940769268e-17,0.0032493178127784967
0.000284210470511859,0.0376304118370237,6.295071451820057e-5,5.987693371249389,0.012306328716427485,1.926238552076752e-10,8.256939246253835e-9,1.4531535562581218e-7,2.0388560873656065e-14,0.012369433596403412
0.0005012267338120319,0.030289354060367916,5.0732595643565756e-5,5.980340152907614,0.019658448632386964,2.2345389652216123e-9,6.058506843274065e-8,6.610108982021871e-7,1.6296537828394183e-13,0.01970991073346458
0.0007182429971122048,0.024380412324892027,4.0876074059636326e-5,5.974421527357008,0.02557496701258702,1.0960592798967163e-8,2.0893151206977798e-7,1.6118274654944737e-6,5.658006316050913e-13,0.0256177017878858
0.002061983239613972,0.006360072853511069,1.0695774575559317e-5,5.956378484970101,0.04358671031682124,7.489985060602362e-7,4.730938170964871e-6,1.265726349529934e-5,1.1932013073999978e-11,0.04361757613894772
0.00340572348211574,0.0016591403854425008,2.792319285569422e-6,5.9516935165370155,0.048227241165820285,3.4651799171226107e-6,1.3014517431115991e-5,2.2013869704353728e-5,3.06399043839746e-11,0.04827918646133581
0.005375575774369215,0.00023141308472614947,3.895618440547358e-7,5.95032892658631,0.04952418780045998,9.322687955120073e-6,2.2673004999009827e-5,2.779489949951453e-5,4.922954727245999e-11,0.04962122008047063
0.007656126240278161,2.3657056925387426e-5,3.98250233127693e-8,5.95023594700231,0.04953636141846752,1.4865696470027728e-5,2.764237927221641e-5,2.927298851777332e-5,5.665084540100382e-11,0.049689072842551835
0.01142703393547561,5.455332579376603e-7,9.183412370565714e-10,5.950483254814459,0.049139570387230734,1.8892930461657424e-5,2.935391041441893e-5,2.920772186346932e-5,5.8051308585428834e-11,0.049384048665814285
0.01778042279856594,1.27567199194995e-9,2.1552813260375087e-12,5.951146265453271,0.04817227687157386,1.9976103470005587e-5,2.8958585565986402e-5,2.8262591382435912e-5,5.6398430149497714e-11,0.04856710664042878
0.031782630162005276,1.3715627116692406e-11,3.064336712359215e-14,5.953454851024406,0.045047546055660664,1.98284889245535e-5,2.675558551980448e-5,2.5155892211633085e-5,5.042536345022062e-11,0.045746414847570215
0.05415565265394713,3.3647109837396073e-13,6.974824784338987e-15,5.958993758264225,0.038192574151251234,1.899447689193137e-5,2.165677200890519e-5,1.873888811796747e-5,3.780940441212135e-11,0.03927501078947633
0.08293078192413463,1.0485782034547769e-14,4.793938264670289e-15,5.967618261163349,0.028503344995057057,1.706535965682733e-5,1.440335418266688e-5,1.0965111364293757e-5,2.2277321669803463e-11,0.029887897434881724
0.12096291186823324,3.7601287370071754e-16,2.968081328584899e-15,5.978296324143017,0.017740296828195952,1.351640852576505e-5,6.946895711905208e-6,4.4906856171405345e-6,9.180950883202473e-12,0.019285846014185527
0.17278707134046906,1.4000405865834557e-17,1.43899038145288e-15,5.988507031276375,0.008617262187306206,8.64551110971463e-6,2.024745027653072e-6,1.1118702607186825e-6,2.2832925486415302e-12,0.010181606387768036
0.23685784331636728,5.061892165239363e-19,5.697019866153254e-16,5.9950269096952535,0.003415373413488805,4.635738175174614e-6,3.632571002253999e-7,1.7949104395769055e-7,3.6925428912853356e-13,0.004921575635830528
0.33068439048398246,1.5964149646367914e-20,1.5026417919178305e-16,5.99844312868244,0.000901350955106725,2.1840707678018644e-6,2.70198861952854e-8,1.2656704346430087e-8,2.6038036506030853e-14,0.002314767264354826
0.47734987225477826,3.8927675494691526e-22,2.1172588411950653e-17,5.999531832036857,0.00012702561381774252,1.2126248974691157e-6,5.78379658587458e-10,2.5506331509547704e-10,5.275974289348711e-16,0.0014243333204758991
0.667207357460125,7.914977735743076e-24,2.067699821504859e-18,5.999691455770832,1.2405560644203426e-5,8.828656151730632e-7,2.2207127509231277e-11,2.620344529460711e-12,5.666091454974132e-18,0.001197668979071946
0.9702775328756952,1.1105899071617923e-25,7.288632344108134e-20,5.999707716856664,4.3729663370533365e-7,6.264893040433228e-7,1.134845956266419e-11,1.0227871329429686e-14,3.303012748265299e-20,0.001060423114739311
